corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
01326224,원바이오젠,307280,김원일,213,경상북도 구미시 1공단로5길 56 ㈜원바이오젠,wonbiogen.co.kr,20180903,12,2026-07-09T22:25:26
00109587,대륙제관,004780,"박봉국, 박봉준 (각자대표이사)",25991,서울특별시 강남구 역삼로 221,www.drcc.co.kr,19661224,12,2026-07-09T22:25:26
00161976,한세예스24홀딩스,016450,"김동녕, 김석환(각자 대표이사)",1419,서울특별시 영등포구 은행로 30 중소기업중앙회 6층,www.hansaeyes24.com,19821118,12,2026-07-09T22:25:27
01196313,유에스티,263770,김종식,241,경상북도 포항시 남구 철강로 290 (주)유에스티,www.u-st.co.kr,20170123,12,2026-07-09T22:25:28
00447502,바이오톡스텍,086040,강종구,70113,충청북도 청주시 청원구 오창읍 연구단지로 53,www.biotoxtech.com,20000823,12,2026-07-09T22:25:28
00261009,감성코퍼레이션,036620,김호선,467,"서울특별시 서초구 방배로 162 서울시 서초구 방배로 162, 4층(예광빌딩)",www.gamsungcorp.co.kr,19940728,12,2026-07-09T22:25:28
01583953,티엘엔지니어링,413300,서충옥,72129,경기도 광명시 원광명로37번길 32,tleng.kr,20021209,12,2026-07-09T22:25:29
00555740,툴코리아,110660,임경섭,25933,경상남도 함안군 군북면 함안산단2길 9,www.tool-korea.co.kr,20051102,12,2026-07-09T22:25:29
00188715,현진소재,053660,이도헌,25912,부산광역시 강서구 녹산화전로 63 -,www.hjmco.co.kr,19780425,12,2026-07-09T22:25:29
00435312,하이스틸,071090,엄정근,2413,충청남도 당진시 송악읍 부곡공단4길 28-252,www.histeel.co.kr,20030101,12,2026-07-09T22:25:29
00916826,드림씨아이에스,223250,유정희,70113,"서울특별시 종로구 사직로 130 적선현대빌딩, 10층 10호",www.dreamcis.com,20000427,12,2026-07-09T22:25:30
01187494,덴티스,261200,심기봉,271,대구광역시 달서구 성서서로 99 덴티스,www.dentis.co.kr,20161201,12,2026-07-09T22:25:30
01388631,오션스톤,329020,이정훈,463,부산광역시 사하구 감천항로 6,,20141015,12,2026-07-09T22:25:30
00246417,이오테크닉스,039030,"성규동,박종구(각자대표이사)",29271,경기도 안양시 동안구 동편로 91,www.eotechnics.com,19931230,12,2026-07-09T22:25:31
00555874,제주항공,089590,김이배,511,제주특별자치도 제주시 신대로 64 3층,www.jejuair.net,20050125,12,2026-07-09T22:25:31
00406727,세진티에스,067770,김인식,26211,경기도 안성시  원곡면 지문로 51-43,www.sejints.co.kr,19960607,12,2026-07-09T22:25:31
00120021,LG,003550,"구광모, 권봉석",64992,서울특별시 영등포구  여의대로 128,www.lg.co.kr,19470105,12,2026-07-09T22:25:32
00201788,제낙스,065620,정덕채,24123,경상남도 김해시 생림면 생림대로928번길 10-58,jenaxinc.com,19910618,12,2026-07-09T22:25:32
00447982,에스지피엠,074000,이정준,68112,"경기도 성남시 분당구 판교로 344 지하1층(삼평동,스마일게이트 캠퍼스)",,19990126,12,2026-07-09T22:25:32
00432102,한국금융지주,071050,김남구,64992,서울특별시 영등포구  의사당대로 88,www.koreaholdings.com,20030111,12,2026-07-09T22:25:32
00231664,우리기술투자,041190,이정훈,6491,"서울특별시 강남구 테헤란로 528 12층(대치동, 슈페리어타워)",www.wooricapital.co.kr,19961218,12,2026-07-09T22:25:33
00115065,동남합성,023450,"김정돈, 박미령 (각자대표)",201,충청남도 공주시 탄천면 탄천산업단지길 80-61 -,www.dongnamchem.com,19651001,12,2026-07-09T22:25:33
00921916,석경에이티,357550,임형섭,20129,경기도 안산시 단원구 별망로459번길 24,www.sukgyung.com,20001218,12,2026-07-09T22:25:33
00162832,한일단조,024740,박정영,303,충청북도 진천군 덕산면 습지길 87 한일단조공업주식회사,www.hifg.co.kr,19660516,12,2026-07-09T22:25:34
00266934,파루,043200,강문식,281,전라남도 순천시 서면 선평리 42-2,www.paru.co.kr,19950828,12,2026-07-09T22:25:34
00369657,리노공업,058470,이채윤,2629,부산광역시 강서구 미음산단로105번길 10,leeno.com/kr,19961220,12,2026-07-09T22:25:34
00351092,삼보모터스,053700,이재하,303,대구광역시 달서구  성서동로 142,www.sambomotos.co.kr,19870925,12,2026-07-09T22:25:35
00563518,비나텍,126340,성도경,282,전라북도 전주시 덕진구 운암로 15,www.vina.co.kr,19990726,12,2026-07-09T22:25:35
