corp_code,corp_name,year,report_code,fs_div,account_nm,amount
00126380,삼성전자,2025,11011,OFS,영업활동현금흐름,68733956000000
00126380,삼성전자,2025,11011,OFS,투자활동현금흐름,-44863548000000
00126380,삼성전자,2025,11011,OFS,재무활동현금흐름,-12941531000000
00126380,삼성전자,2024,11011,OFS,자산총계,324966127000000
00126380,삼성전자,2024,11011,OFS,부채총계,88569470000000
00126380,삼성전자,2024,11011,OFS,자본총계,236396657000000
00126380,삼성전자,2024,11011,OFS,매출액,209052241000000
00126380,삼성전자,2024,11011,OFS,매출원가,152061472000000
00126380,삼성전자,2024,11011,OFS,매출총이익,56990769000000
00126380,삼성전자,2024,11011,OFS,영업이익,12361034000000
00126380,삼성전자,2024,11011,OFS,당기순이익,23582565000000
00126380,삼성전자,2024,11011,OFS,영업활동현금흐름,52491497000000
00126380,삼성전자,2024,11011,OFS,투자활동현금흐름,-50377644000000
00126380,삼성전자,2024,11011,OFS,재무활동현금흐름,-6520814000000
00126380,삼성전자,2023,11011,OFS,자산총계,296857289000000
00126380,삼성전자,2023,11011,OFS,부채총계,72069515000000
00126380,삼성전자,2023,11011,OFS,자본총계,224787774000000
00126380,삼성전자,2023,11011,OFS,매출액,170374090000000
00126380,삼성전자,2023,11011,OFS,매출원가,144023552000000
00126380,삼성전자,2023,11011,OFS,매출총이익,26350538000000
00126380,삼성전자,2023,11011,OFS,영업이익,-11526297000000
00126380,삼성전자,2023,11011,OFS,당기순이익,25397099000000
00126380,삼성전자,2023,11011,OFS,영업활동현금흐름,34455084000000
00126380,삼성전자,2023,11011,OFS,투자활동현금흐름,-47571537000000
00126380,삼성전자,2023,11011,OFS,재무활동현금흐름,15268902000000
00126380,삼성전자,2022,11011,OFS,자산총계,260083750000000
00126380,삼성전자,2022,11011,OFS,부채총계,50667559000000
00126380,삼성전자,2022,11011,OFS,자본총계,209416191000000
00126380,삼성전자,2022,11011,OFS,매출액,211867483000000
00126380,삼성전자,2022,11011,OFS,매출원가,152589393000000
00126380,삼성전자,2022,11011,OFS,매출총이익,59278090000000
00126380,삼성전자,2022,11011,OFS,영업이익,25319329000000
00126380,삼성전자,2022,11011,OFS,당기순이익,25418778000000
00126380,삼성전자,2021,11011,OFS,자산총계,251112184000000
